2025-06-10 00:44:03.546 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L76   | Logger initialized for module: core.security.terminal_security
2025-06-10 01:19:22.025 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 03:33:09.012 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 03:33:09.024 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 03:33:09.085 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 03:33:09.087 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 03:51:56.432 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 03:51:56.462 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 03:51:56.592 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 03:51:56.594 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 05:32:28.883 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 05:32:28.898 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 05:32:28.947 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 05:32:28.950 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 06:02:09.577 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 06:02:09.592 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 06:02:09.626 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 06:02:09.636 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 06:02:31.463 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 06:02:31.475 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 06:02:31.488 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 06:02:31.491 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:15:09.632 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:15:09.632 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:15:09.634 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:15:09.634 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:15:47.230 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:15:47.230 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:15:47.231 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:15:47.231 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:15:56.387 | WARNING  | concierge.core.security.terminal_security | validate_input       | L71   | Dangerous control characters in input
2025-06-10 07:15:56.388 | WARNING  | concierge.core.security.terminal_security | log_security_event   | L218  | SECURITY EVENT: INVALID_INPUT for session terminal-main-session: {'data_length': 1}
2025-06-10 07:22:20.293 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:22:20.293 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:22:20.295 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:22:20.295 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:24:08.429 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:24:08.429 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:24:08.430 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:24:08.430 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:42:57.501 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:42:57.502 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 07:42:57.505 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 07:42:57.505 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 10:31:58.689 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 10:31:58.694 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 10:31:58.698 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L166  | Validating session ID: terminal-main-session
2025-06-10 10:31:58.698 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L178  | Session ID valid: terminal-main-session
2025-06-10 10:32:14.874 | WARNING  | concierge.core.security.terminal_security | validate_input       | L71   | Dangerous control characters in input
2025-06-10 10:32:14.877 | WARNING  | concierge.core.security.terminal_security | log_security_event   | L218  | SECURITY EVENT: INVALID_INPUT for session terminal-main-session: {'data_length': 1}
2025-06-10 10:38:11.922 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L76   | Logger initialized for module: core.security.terminal_security
2025-06-10 10:38:11.922 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_core_security_terminal_security_20250610.log
2025-06-10 10:38:11.922 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L78   | Debug mode: True
2025-06-10 10:38:11.933 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:38:11.933 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:38:11.934 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:38:11.934 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:40:21.797 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:40:21.797 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:40:21.798 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:40:21.798 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:40:34.098 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:40:34.098 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:40:34.100 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:40:34.100 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:44:04.296 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L76   | Logger initialized for module: core.security.terminal_security
2025-06-10 10:44:04.296 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_core_security_terminal_security_20250610.log
2025-06-10 10:44:04.296 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L78   | Debug mode: True
2025-06-10 10:44:04.305 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:44:04.305 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:44:04.306 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:44:04.306 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:52:51.382 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:52:51.382 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:52:51.383 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:52:51.383 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:52:52.516 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:52:52.517 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:52:52.519 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:52:52.519 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:53:48.054 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:53:48.054 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 10:53:48.056 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 10:53:48.056 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:05:50.891 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L76   | Logger initialized for module: core.security.terminal_security
2025-06-10 18:05:50.929 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L77   | Log file: /data/openpilot/openpilot/selfdrive/chauffeur/concierge/logs/concierge_core_security_terminal_security_20250610.log
2025-06-10 18:05:50.930 | DEBUG    | concierge.core.security.terminal_security | setup_logging        | L78   | Debug mode: True
2025-06-10 18:05:51.227 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:05:51.240 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:05:51.246 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:05:51.247 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:06:07.489 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:06:07.489 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
2025-06-10 18:06:07.493 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L173  | Validating session ID: terminal-main-session
2025-06-10 18:06:07.493 | DEBUG    | concierge.core.security.terminal_security | validate_session_id  | L185  | Session ID valid: terminal-main-session
